#,class,pos,height,weight,hometown,rsci top 100,summary,school,year,high school,Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,slug
0.0,SO,F,6-5,216,"Charlotte, NC",25 (2019),"9.7 Pts, 4.8 Reb, 2.7 Ast",duke,2021,Cox Mill (NC),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,FR,G,6-1,175,"Leesburg, VA",20 (2020),"8.7 Pts, 2.2 Reb, 2.8 Ast",duke,2021,Paul VI HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,FR,C,7-0,243,"Virginia Beach, VA",25 (2020),"7.1 Pts, 4.5 Reb, 0.7 Ast",duke,2021,IMG Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
1.0,FR,F,6-9,220,"Milwaukee, WI",11 (2020),"11.2 Pts, 6.1 Reb, 2.2 Ast",duke,2021,Nicolet HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
0.0,SR,G,6-2,184,"Norcross, GA",,"5.8 Pts, 2.9 Reb, 4.0 Ast",duke,2021,Norcross High School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,FR,F,6-8,216,"Jackson, MS",33 (2020),"3.5 Pts, 2.5 Reb, 0.5 Ast",duke,2021,Huntington Prep School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
13.0,JR,F,6-6,201,"Fayetteville, NC",37 (2018),"2.9 Pts, 1.2 Reb, 0.4 Ast",duke,2021,Trinity Christian School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,FR,F,6-7,229,"Richmond, VA",49 (2020),"1.1 Pts, 1.4 Reb, 0.2 Ast",duke,2021,Trinity Episcopal (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
,SR,F,6-9,233,"Charlotte, NC",,"1.1 Pts, 1.1 Reb, 0.3 Ast",duke,2021,Queens Grant High School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
45.0,SO,F,6-9,225,"Chapel Hill, NC",,"1.5 Pts, 1.0 Reb, 0.0 Ast",duke,2021,Blair Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
51.0,SR,G,6-2,175,"Blue Bell, PA",,"0.5 Pts, 0.3 Reb, 0.0 Ast",duke,2021,Germantown Friends School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
30.0,SO,G,6-0,185,"Durham, NC",,"0.5 Pts, 0.5 Reb, 0.5 Ast",duke,2021,Durham Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,FR,F,6-10,250,"Seattle, WA",2 (2021),"17.2 Pts, 7.8 Reb, 3.2 Ast",duke,2022,O'Dea HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
0.0,JR,F,6-5,216,"Charlotte, NC",25 (2019),"13.4 Pts, 5.3 Reb, 4.4 Ast",duke,2022,Cox Mill (NC),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,SO,C,7-0,243,"Virginia Beach, VA",25 (2020),"11.2 Pts, 7.4 Reb, 0.9 Ast",duke,2022,IMG Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
1.0,FR,G,6-4,221,"Clinton, MD",19 (2021),"11.5 Pts, 3.4 Reb, 2.7 Ast",duke,2022,Paul VI HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
21.0,FR,F,6-6,222,"White Plains, NY",18 (2021),"10.4 Pts, 3.9 Reb, 1.0 Ast",duke,2022,Archbishop Stepinac HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,SO,G,6-1,175,"Leesburg, VA",20 (2020),"8.6 Pts, 2.4 Reb, 3.2 Ast",duke,2022,Paul VI HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
13.0,SR,F,6-6,201,"Fayetteville, NC",37 (2018),"4.5 Pts, 1.2 Reb, 0.4 Ast",duke,2022,Trinity Christian School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
12.0,SR,F,6-9,255,"Minneapolis, MN",,"2.8 Pts, 2.5 Reb, 0.4 Ast",duke,2022,Champlin Park High School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
25.0,SR,F,6-8,225,"Charlotte, NC",,"1.4 Pts, 1.1 Reb, 0.4 Ast",duke,2022,Charlotte Latin High School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
2.0,FR,G,6-1,208,"Somerset, NJ",,"1.0 Pts, 0.7 Reb, 0.5 Ast",duke,2022,Blair Academy HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
30.0,JR,G,6-0,185,"Durham, NC",,"1.1 Pts, 0.5 Reb, 0.0 Ast",duke,2022,Durham Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
45.0,JR,F,6-9,225,"Chapel Hill, NC",,"0.3 Pts, 1.3 Reb, 0.0 Ast",duke,2022,Blair Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
55.0,,G,5-8,160,"Los Angeles, CA",,"0.3 Pts, 0.3 Reb, 0.0 Ast",duke,2022,Harvard Westlake HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
52.0,,C,7-0,240,"Istanbul, Türkiye",,"0.0 Pts, 1.0 Reb, 0.0 Ast",duke,2022,Istanbul Int'l Community School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
30.0,FR,C,7-0,230,"Westtown, NY",4 (2022),"15.1 Pts, 9.0 Reb, 1.6 Ast",duke,2023,Wilbraham & Monson (MA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,JR,G,6-1,175,"Leesburg, VA",20 (2020),"13.6 Pts, 2.5 Reb, 3.1 Ast",duke,2023,Paul VI HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,FR,G,6-5,175,"Sydney, Australia",97 (2022),"9.4 Pts, 3.1 Reb, 3.3 Ast",duke,2023,NBA Global Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
25.0,FR,F,6-8,220,"Kansas City, KS",22 (2022),"9.1 Pts, 4.5 Reb, 1.2 Ast",duke,2023,Sunrise Christian (KS),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
0.0,FR,F,6-7,220,"Newark, NJ",1 (2022),"8.3 Pts, 2.4 Reb, 1.0 Ast",duke,2023,Montverde Academy (FL),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,SR,G,6-10,245,"Stweartsville, NJ",,"6.4 Pts, 5.5 Reb, 1.3 Ast",duke,2023,Bethlehem Catholic HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
1.0,FR,C,7-1,230,"Philadelphia, PA",2 (2022),"5.2 Pts, 5.4 Reb, 1.1 Ast",duke,2023,Westtown School (PA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
13.0,SR,G,6-6,205,"Oakland, CA",,"4.4 Pts, 2.0 Reb, 1.3 Ast",duke,2023,Phillips Exeter Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
2.0,SO,G,6-1,208,"Somerset, NJ",,"3.3 Pts, 1.5 Reb, 1.3 Ast",duke,2023,Blair Academy HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
14.0,FR,G,6-5,185,"Yorkville, IL",59 (2022),"2.1 Pts, 1.1 Reb, 0.4 Ast",duke,2023,Yorkville Christian (IL),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
21.0,FR,C,7-1,245,"Charlotte, NC",,"1.5 Pts, 0.9 Reb, 0.1 Ast",duke,2023,Oak Hill Academy (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
12.0,SR,F,6-6,220,"O'Fallon, MO",,"0.8 Pts, 0.8 Reb, 0.2 Ast",duke,2023,Liberty HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
52.0,SO,C,7-0,240,"Istanbul, Türkiye",,"0.0 Pts, 1.0 Reb, 0.0 Ast",duke,2023,Istanbul Int'l Community School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
55.0,JR,G,5-8,160,"Los Angeles, CA",,"0.0 Pts, 0.3 Reb, 0.0 Ast",duke,2023,Harvard Westlake HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
41.0,SR,G,6-3,195,"High Point, NC",,"0.0 Pts, 0.4 Reb, 0.2 Ast",duke,2023,Woodberry Forest HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
30.0,SO,C,7-0,230,"Westtown, NY",4 (2022),"16.4 Pts, 8.3 Reb, 2.8 Ast",duke,2024,Wilbraham & Monson (MA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
0.0,FR,G,6-3,197,"Corona, CA",12 (2023),"14.3 Pts, 5.0 Reb, 1.9 Ast",duke,2024,"Centennial (Corona, CA)",110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,SR,G,6-1,175,"Leesburg, VA",20 (2020),"14.0 Pts, 2.5 Reb, 3.3 Ast",duke,2024,Paul VI HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
25.0,SO,F,6-8,220,"Kansas City, KS",22 (2022),"11.6 Pts, 6.0 Reb, 1.1 Ast",duke,2024,Sunrise Christian (KS),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,SO,G,6-5,175,"Sydney, Australia",97 (2022),"10.5 Pts, 3.0 Reb, 3.7 Ast",duke,2024,NBA Global Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
1.0,FR,G,6-5,197,"Sherman Oaks, CA",17 (2023),"7.7 Pts, 2.4 Reb, 2.1 Ast",duke,2024,"Oak Hill Academy (VA); Notre Dame (Sherman Oaks, CA)",110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
15.0,SR,G,6-10,245,"Stweartsville, NJ",,"2.8 Pts, 3.4 Reb, 0.8 Ast",duke,2024,Bethlehem Catholic HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
13.0,FR,F,6-9,227,"Windermere, FL",15 (2023),"2.6 Pts, 3.2 Reb, 0.2 Ast",duke,2024,Windermere (FL); Montverde Academy (FL),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
2.0,JR,G,6-1,208,"Somerset, NJ",,"1.8 Pts, 0.8 Reb, 0.4 Ast",duke,2024,Blair Academy HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
12.0,FR,F,6-9,216,"Shrewsbury, MA",21 (2023),"2.1 Pts, 0.7 Reb, 0.2 Ast",duke,2024,Worcester Academy (MA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
55.0,SR,G,5-8,160,"Los Angeles, CA",,"0.6 Pts, 0.3 Reb, 0.2 Ast",duke,2024,Harvard Westlake HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
21.0,SO,C,7-1,245,"Charlotte, NC",,"1.7 Pts, 1.7 Reb, 0.0 Ast",duke,2024,Oak Hill Academy (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
20.0,SR,F,6-9,225,"San Francisco, CA",,"0.3 Pts, 0.5 Reb, 0.0 Ast",duke,2024,St. Ignatius College Prep,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
2.0,FR,F,6-9,205,"Newport, ME",1 (2024),"19.2 Pts, 7.5 Reb, 4.2 Ast",duke,2025,Nokomis Regional (ME); Montverde Academy (FL),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
7.0,FR,G,6-7,217,"Milwaukee, WI",14 (2024),"14.4 Pts, 4.0 Reb, 2.7 Ast",duke,2025,Wisconsin Lutheran (WI),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
5.0,JR,G,6-5,175,"Sydney, Australia",97 (2022),"12.4 Pts, 3.0 Reb, 2.2 Ast",duke,2025,NBA Global Academy,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
14.0,SR,G,6-5,185,"Buford, GA",,"8.6 Pts, 4.2 Reb, 2.9 Ast",duke,2025,Lanier HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
9.0,FR,C,7-2,250,"Rumbek, South Sudan",51 (2024),"8.6 Pts, 6.6 Reb, 0.5 Ast",duke,2025,NBA Academy Africa (Senegal),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
3.0,FR,G,6-6,175,"Fayetteville, NC",16 (2024),"6.8 Pts, 1.1 Reb, 0.5 Ast",duke,2025,North Mecklenburg (NC),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
1.0,SO,G,6-5,197,"Sherman Oaks, CA",17 (2023),"4.9 Pts, 1.7 Reb, 1.4 Ast",duke,2025,"Oak Hill Academy (VA); Notre Dame (Sherman Oaks, CA)",110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
18.0,SR,F,6-6,230,"New Castle, IN",,"4.1 Pts, 2.6 Reb, 0.8 Ast",duke,2025,New Castle (IN),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
21.0,FR,C,6-11,250,"Manassas, VA",24 (2024),"3.9 Pts, 2.7 Reb, 0.8 Ast",duke,2025,St. Paul VI (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
6.0,JR,F,6-8,213,"Culpeper, VA",,"2.5 Pts, 3.7 Reb, 1.5 Ast",duke,2025,Blue Ridge (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
8.0,FR,G,6-6,203,"Herndon, VA",35 (2024),"2.0 Pts, 1.1 Reb, 0.3 Ast",duke,2025,St. Paul VI (VA),110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
55.0,SR,G,5-8,160,"Los Angeles, CA",,"1.1 Pts, 0.2 Reb, 0.3 Ast",duke,2025,Harvard Westlake HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
20.0,SR,F,6-9,225,"San Francisco, CA",,"0.6 Pts, 0.8 Reb, 0.2 Ast",duke,2025,St. Ignatius College Prep,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
13.0,JR,G,6-6,180,"ALpharetta, GA",,"0.4 Pts, 0.4 Reb, 0.2 Ast",duke,2025,Chattahoochee HS,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
52.0,SR,C,7-0,240,"Istanbul, Türkiye",,"0.0 Pts, 0.3 Reb, 0.0 Ast",duke,2025,Istanbul Int'l Community School,110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5,duke
0.0,SO,F,6-9,225,"Dallas, TX",11 (2006),"12.8 Pts, 6.3 Reb, 0.8 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,JR,G,6-6,210,"Kansas City, MO",23 (2005),"13.3 Pts, 5.1 Reb, 2.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,JR,G,6-1,190,"Anchorage, AK",8 (2005),"12.8 Pts, 3.1 Reb, 4.3 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
32.0,SR,F,6-9,253,"Oklahoma City, OK",68 (2004),"11.2 Pts, 6.7 Reb, 1.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SO,G,5-11,205,"Chicago, IL",14 (2006),"9.3 Pts, 2.2 Reb, 3.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
3.0,SR,G,6-1,205,"New York, NY",31 (2004),"7.3 Pts, 2.8 Reb, 4.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,SR,C,6-11,250,"Melbourne, FL",43 (2004),"7.1 Pts, 3.9 Reb, 0.3 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
45.0,FR,C,6-11,245,"Bloomington, MN",22 (2007),"2.8 Pts, 3.0 Reb, 0.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,SR,G,6-4,200,"Seattle, WA",36 (2003),"2.8 Pts, 2.2 Reb, 1.4 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SR,G,6-1,190,"McAlester, OK",,"1.6 Pts, 0.3 Reb, 0.9 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,FR,G,6-3,193,"Burlington, KS",63 (2007),"2.0 Pts, 0.4 Reb, 0.9 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,FR,G,6-5,212,"Leawood, KS",,"2.2 Pts, 0.4 Reb, 0.3 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,JR,G,6-0,185,"Lawrence, KS",,"1.2 Pts, 0.3 Reb, 0.2 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
54.0,JR,C,6-10,250,"Overland Park, KS",,"0.4 Pts, 0.7 Reb, 0.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
