#,class,pos,height,weight,hometown,rsci top 100,summary,school,year,high school,Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,slug
41.0,FR,G,6-3,210,"San Antonio, TX",,"0.2 Pts, 0.4 Reb, 0.1 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
40.0,SO,G,6-1,190,"Humboldt, KS",,"0.2 Pts, 0.3 Reb, 0.3 Ast",kansas,2008,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,JR,G,5-11,205,"Chicago, IL",14 (2006),"18.9 Pts, 2.9 Reb, 5.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
45.0,SO,C,6-11,245,"Bloomington, MN",22 (2007),"14.9 Pts, 11.1 Reb, 1.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,FR,G,6-3,185,"Hoboken, NJ",73 (2008),"9.7 Pts, 2.2 Reb, 3.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,FR,F,6-9,235,"Philadelphia, PA","62 (2007), 63 (2008)","7.4 Pts, 4.7 Reb, 1.1 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,SO,G,6-4,185,"Lawrence, KS",,"6.5 Pts, 3.0 Reb, 2.6 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,SO,G,6-3,193,"Burlington, KS",63 (2007),"6.5 Pts, 1.9 Reb, 1.1 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,FR,C,6-10,245,"Philadelphia, PA","92 (2007), 67 (2008)","4.6 Pts, 4.4 Reb, 1.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
23.0,JR,G,6-6,218,"Chicago, IL",,"4.7 Pts, 3.2 Reb, 0.9 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,FR,G,6-6,210,"Kansas City, MO",49 (2008),"2.7 Pts, 1.4 Reb, 0.2 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,FR,F,6-8,245,"Newark, NJ",90 (2008),"1.5 Pts, 2.0 Reb, 0.1 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
32.0,JR,G,6-2,203,"Gary, IN",,"0.8 Pts, 0.3 Reb, 0.3 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,SO,G,6-5,212,"Leawood, KS",,"0.7 Pts, 0.9 Reb, 0.1 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
54.0,SR,C,6-10,250,"Overland Park, KS",,"0.4 Pts, 0.6 Reb, 0.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
41.0,SO,G,6-3,210,"San Antonio, TX",,"0.4 Pts, 0.5 Reb, 0.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SR,G,6-0,185,"Lawrence, KS",,"0.1 Pts, 0.1 Reb, 0.2 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,FR,G,6-3,195,"Hays, KS",,"0.0 Pts, 0.0 Reb, 0.0 Ast",kansas,2009,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SR,G,5-11,205,"Chicago, IL",14 (2006),"15.5 Pts, 2.1 Reb, 4.5 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,FR,G,6-6,220,"Oklahoma City, OK",6 (2009),"13.4 Pts, 4.4 Reb, 1.5 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,SO,F,6-9,235,"Philadelphia, PA","62 (2007), 63 (2008)","12.8 Pts, 6.1 Reb, 1.0 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
45.0,JR,C,6-11,245,"Bloomington, MN",22 (2007),"11.3 Pts, 9.8 Reb, 0.9 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SO,G,6-3,185,"Hoboken, NJ",73 (2008),"7.2 Pts, 2.4 Reb, 3.4 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,SO,C,6-10,245,"Philadelphia, PA","92 (2007), 67 (2008)","6.8 Pts, 5.3 Reb, 1.1 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,JR,G,6-3,193,"Burlington, KS",63 (2007),"5.1 Pts, 1.4 Reb, 1.1 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,JR,G,6-4,185,"Lawrence, KS",,"4.1 Pts, 2.3 Reb, 2.9 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,FR,F,6-9,237,"Washington, DC",28 (2009),"2.5 Pts, 2.7 Reb, 0.3 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,FR,G,6-4,195,"Las Vegas, NV",25 (2009),"2.4 Pts, 1.0 Reb, 1.3 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
13.0,FR,G,6-4,205,"Oklahoma City, OK",,"3.1 Pts, 0.7 Reb, 0.3 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,JR,G,6-5,212,"Leawood, KS",,"1.1 Pts, 1.0 Reb, 0.3 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,FR,C,7-0,235,"San Diego, CA",27 (2008),"1.3 Pts, 1.4 Reb, 0.0 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,SO,G,6-3,195,"Hays, KS",,"0.9 Pts, 0.2 Reb, 0.0 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
41.0,JR,G,6-3,210,"San Antonio, TX",,"0.5 Pts, 0.5 Reb, 0.1 Ast",kansas,2010,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,JR,F,6-9,235,"Philadelphia, PA","62 (2007), 63 (2008)","17.2 Pts, 7.6 Reb, 1.6 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,JR,C,6-10,245,"Philadelphia, PA","92 (2007), 67 (2008)","13.6 Pts, 8.3 Reb, 1.4 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,SR,G,6-3,193,"Burlington, KS",63 (2007),"9.7 Pts, 3.1 Reb, 1.7 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,JR,G,6-3,185,"Hoboken, NJ",73 (2008),"9.3 Pts, 1.9 Reb, 4.6 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,SR,G,6-4,185,"Lawrence, KS",,"7.1 Pts, 2.2 Reb, 3.3 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,SO,F,6-9,237,"Washington, DC",28 (2009),"7.6 Pts, 6.4 Reb, 0.6 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
32.0,FR,G,6-2,183,"Baltimore, MD",6 (2010),"7.9 Pts, 2.2 Reb, 2.2 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
23.0,SR,G,6-6,218,"Chicago, IL",,"5.1 Pts, 2.9 Reb, 0.8 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,SO,G,6-4,195,"Las Vegas, NV",25 (2009),"3.4 Pts, 1.3 Reb, 1.8 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,SO,G,6-6,210,"Kansas City, MO",49 (2008),"3.7 Pts, 1.4 Reb, 0.7 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,SO,C,7-0,235,"San Diego, CA",27 (2008),"2.3 Pts, 1.8 Reb, 0.2 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,JR,G,6-3,195,"Hays, KS",,"0.9 Pts, 0.6 Reb, 0.1 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,FR,G,6-3,180,"Phoenix, AZ",,"0.6 Pts, 0.5 Reb, 0.6 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,FR,G,5-11,175,"Huntington, NY",,"0.2 Pts, 0.4 Reb, 0.1 Ast",kansas,2011,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,JR,F,6-9,237,"Washington, DC",28 (2009),"17.7 Pts, 11.9 Reb, 1.8 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SR,G,6-3,185,"Hoboken, NJ",73 (2008),"16.6 Pts, 2.3 Reb, 4.8 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,JR,G,6-4,195,"Las Vegas, NV",25 (2009),"10.2 Pts, 3.2 Reb, 3.5 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,JR,C,7-0,235,"San Diego, CA",27 (2008),"9.0 Pts, 6.3 Reb, 0.7 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,JR,G,6-6,210,"Kansas City, MO",49 (2008),"8.5 Pts, 4.2 Reb, 1.8 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,SR,G,6-5,212,"Leawood, KS",,"5.5 Pts, 2.1 Reb, 1.1 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
40.0,JR,F,6-8,190,"Perris, CA",,"3.4 Pts, 3.0 Reb, 0.6 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SO,F,6-9,220,"Fort Worth, TX",,"1.2 Pts, 1.6 Reb, 0.0 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,FR,G,5-11,170,"Worcester, MA",91 (2011),"0.9 Pts, 0.3 Reb, 0.7 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,SR,G,6-3,195,"Hays, KS",,"1.3 Pts, 0.5 Reb, 0.1 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,FR,F,6-7,205,"Moreno Valley, CA",,"0.9 Pts, 0.3 Reb, 0.1 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,FR,G,6-3,185,"Los Angeles, CA",,"0.0 Pts, 0.3 Reb, 0.1 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,SO,G,5-11,175,"Huntington, NY",,"0.0 Pts, 0.3 Reb, 0.4 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
50.0,SO,F,6-6,205,,,"0.0 Pts, 0.0 Reb, 0.0 Ast",kansas,2012,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
23.0,FR,G,6-5,195,"St. Louis, MO",41 (2011),"15.9 Pts, 5.2 Reb, 2.0 Ast",kansas,2013,Christian Life Center (TX),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,SR,C,7-0,235,"San Diego, CA",27 (2008),"13.7 Pts, 8.5 Reb, 0.9 Ast",kansas,2013,Horizon,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,SR,G,6-6,210,"Kansas City, MO",49 (2008),"11.9 Pts, 3.8 Reb, 2.6 Ast",kansas,2013,Bishop Miege,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,SR,G,6-4,195,"Las Vegas, NV",25 (2009),"9.9 Pts, 3.1 Reb, 4.6 Ast",kansas,2013,Cheyenne,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
40.0,SR,F,6-8,190,"Perris, CA",,"7.8 Pts, 6.8 Reb, 1.2 Ast",kansas,2013,,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
34.0,FR,F,6-8,225,"Wichita, KS",31 (2012),"5.8 Pts, 3.9 Reb, 0.6 Ast",kansas,2013,Wichita Heights HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,SO,G,5-11,170,"Worcester, MA",91 (2011),"5.5 Pts, 1.5 Reb, 3.1 Ast",kansas,2013,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
31.0,FR,F,6-8,220,"Chicago, IL",,"2.1 Pts, 2.1 Reb, 0.3 Ast",kansas,2013,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
3.0,FR,G,6-7,220,"Richmond, VA",52 (2012),"2.2 Pts, 1.2 Reb, 0.0 Ast",kansas,2013,The Miller School of Albemarle,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,FR,G,6-3,190,"Seattle, WA",,"1.1 Pts, 0.3 Reb, 0.3 Ast",kansas,2013,Rainier Beach,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,FR,G,6-3,170,"Lawrence, KS",,"0.7 Pts, 0.4 Reb, 0.1 Ast",kansas,2013,Free State,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,JR,F,6-9,220,"Fort Worth, TX",,"0.4 Pts, 1.1 Reb, 0.2 Ast",kansas,2013,North Crowley,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,JR,G,5-11,175,"Huntington, NY",,"0.3 Pts, 0.3 Reb, 0.2 Ast",kansas,2013,Saint Anthony's,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
11.0,FR,G,6-2,165,"Lawrence, KS",,"0.4 Pts, 0.2 Reb, 0.2 Ast",kansas,2013,Free State HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,SO,G,6-3,185,"Los Angeles, CA",,"0.0 Pts, 0.3 Reb, 0.1 Ast",kansas,2013,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,FR,G,6-8,200,,1 (2013),"17.1 Pts, 5.9 Reb, 1.5 Ast",kansas,2014,Huntington Prep,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
34.0,SO,F,6-8,225,"Wichita, KS",31 (2012),"13.5 Pts, 6.7 Reb, 1.0 Ast",kansas,2014,Wichita Heights HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,FR,G,6-5,230,"Roxbury, MA",13 (2013),"9.7 Pts, 2.6 Reb, 2.5 Ast",kansas,2014,Tilton (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,FR,C,7-0,250,,16 (2013),"11.2 Pts, 8.1 Reb, 1.4 Ast",kansas,2014,The Rock School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,JR,G,5-11,170,"Worcester, MA",91 (2011),"8.5 Pts, 2.1 Reb, 5.0 Ast",kansas,2014,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,FR,G,5-11,185,"Petersburg, VA",89 (2013),"5.5 Pts, 1.3 Reb, 2.1 Ast",kansas,2014,Massanutten Military Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
25.0,SR,F,6-9,260,"Memphis, TN",59 (2010),"5.5 Pts, 3.9 Reb, 0.3 Ast",kansas,2014,Ridgeway,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
31.0,SO,F,6-8,220,"Chicago, IL",,"4.8 Pts, 4.1 Reb, 0.8 Ast",kansas,2014,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
23.0,FR,G,6-0,165,"Wichita, KS",40 (2013),"2.5 Pts, 0.6 Reb, 0.6 Ast",kansas,2014,Wichita North,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,FR,G,6-7,215,"Juliette, GA",36 (2013),"2.4 Pts, 1.0 Reb, 0.4 Ast",kansas,2014,Tift County HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
3.0,SO,G,6-7,220,"Richmond, VA",52 (2012),"2.4 Pts, 1.2 Reb, 0.2 Ast",kansas,2014,The Miller School of Albemarle,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,FR,F,6-10,240,"Portland, OR",,"1.5 Pts, 1.4 Reb, 0.0 Ast",kansas,2014,Westview HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,SO,G,6-3,170,"Lawrence, KS",,"0.7 Pts, 0.0 Reb, 0.2 Ast",kansas,2014,Free State,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
