#,class,pos,height,weight,hometown,rsci top 100,summary,school,year,high school,Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC,slug
20.0,SR,G,5-11,175,"Huntington, NY",,"0.3 Pts, 0.5 Reb, 0.0 Ast",kansas,2014,Saint Anthony's,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SR,F,6-9,220,"Fort Worth, TX",,"0.1 Pts, 0.6 Reb, 0.0 Ast",kansas,2014,North Crowley,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,JR,G,6-3,185,"Los Angeles, CA",,"0.0 Pts, 0.1 Reb, 0.1 Ast",kansas,2014,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
34.0,JR,F,6-8,225,"Wichita, KS",31 (2012),"13.8 Pts, 6.9 Reb, 1.2 Ast",kansas,2015,Wichita Heights HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,SO,G,5-11,185,"Petersburg, VA",89 (2013),"12.6 Pts, 3.9 Reb, 3.9 Ast",kansas,2015,Massanutten Military Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,SO,G,6-5,230,"Roxbury, MA",13 (2013),"9.4 Pts, 2.8 Reb, 2.6 Ast",kansas,2015,Tilton (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,FR,G,6-7,200,"Henderson, NV",8 (2014),"9.3 Pts, 5.0 Reb, 0.8 Ast",kansas,2015,Findlay Prep (NV),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,FR,F,6-8,240,"Chicago, IL",4 (2014),"7.1 Pts, 5.3 Reb, 0.4 Ast",kansas,2015,Curie,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,SO,G,6-7,215,"Juliette, GA",36 (2013),"5.7 Pts, 2.1 Reb, 0.8 Ast",kansas,2015,Tift County HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
31.0,JR,F,6-8,220,"Chicago, IL",,"4.8 Pts, 3.7 Reb, 0.9 Ast",kansas,2015,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,FR,G,6-2,175,"Raleigh, NC",65 (2014),"5.7 Pts, 1.5 Reb, 2.1 Ast",kansas,2015,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,SO,F,6-10,240,"Portland, OR",,"3.5 Pts, 4.3 Reb, 0.4 Ast",kansas,2015,Westview HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,FR,G,6-8,195,"Cherkasy, Ukraine",95 (2014),"2.8 Pts, 1.2 Reb, 0.7 Ast",kansas,2015,Cherkasy First City Gymnasia,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
42.0,JR,F,6-10,245,"Jonesboro, AR",71 (2011),"2.4 Pts, 1.8 Reb, 0.1 Ast",kansas,2015,Westside,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,JR,G,6-3,170,"Lawrence, KS",,"0.6 Pts, 0.2 Reb, 0.2 Ast",kansas,2015,Free State,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,SR,G,6-3,185,"Los Angeles, CA",,"0.2 Pts, 0.2 Reb, 0.1 Ast",kansas,2015,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,FR,G,6-4,200,"Orem, UT",,"0.3 Pts, 0.3 Reb, 0.1 Ast",kansas,2015,Orem,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
11.0,SO,G,6-2,165,"Lawrence, KS",,"0.3 Pts, 0.1 Reb, 0.1 Ast",kansas,2015,Free State HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
23.0,SR,F,6-7,200,"Kansas City, KS",,"0.0 Pts, 0.0 Reb, 0.0 Ast",kansas,2015,Bishop Ward,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
34.0,SR,F,6-8,225,"Wichita, KS",31 (2012),"16.9 Pts, 5.8 Reb, 1.3 Ast",kansas,2016,Wichita Heights HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,JR,G,6-5,230,"Roxbury, MA",13 (2013),"13.8 Pts, 3.4 Reb, 2.6 Ast",kansas,2016,Tilton (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,JR,G,5-11,185,"Petersburg, VA",89 (2013),"12.9 Pts, 4.3 Reb, 4.6 Ast",kansas,2016,Massanutten Military Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SO,G,6-2,175,"Raleigh, NC",65 (2014),"11.3 Pts, 3.3 Reb, 3.7 Ast",kansas,2016,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,JR,F,6-10,240,"Portland, OR",,"5.8 Pts, 6.8 Reb, 0.6 Ast",kansas,2016,Westview HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SO,G,6-8,195,"Cherkasy, Ukraine",95 (2014),"5.4 Pts, 1.3 Reb, 0.9 Ast",kansas,2016,Cherkasy First City Gymnasia,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,JR,G,6-7,215,"Juliette, GA",36 (2013),"5.4 Pts, 2.1 Reb, 0.8 Ast",kansas,2016,Tift County HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,FR,F,6-10,219,"Cleveland, OH",22 (2015),"3.8 Pts, 2.5 Reb, 0.4 Ast",kansas,2016,Villa Angela-St. Joseph HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
31.0,SR,F,6-8,220,"Chicago, IL",,"2.9 Pts, 3.2 Reb, 0.5 Ast",kansas,2016,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
13.0,FR,F,6-9,218,"Centereach, NY",6 (2015),"3.0 Pts, 2.5 Reb, 0.0 Ast",kansas,2016,Our Savior New American HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
42.0,SR,F,6-10,245,"Jonesboro, AR",71 (2011),"2.3 Pts, 2.3 Reb, 0.5 Ast",kansas,2016,Westside,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,FR,G,6-5,190,"Memphis, TN",56 (2015),"2.1 Pts, 0.3 Reb, 0.4 Ast",kansas,2016,Douglass HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,SR,G,6-3,170,"Lawrence, KS",,"0.6 Pts, 0.3 Reb, 0.1 Ast",kansas,2016,Free State,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,SO,F,6-5,205,"Lansing, KS",,"0.4 Pts, 0.3 Reb, 0.0 Ast",kansas,2016,Lansing HS (KS),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
11.0,JR,G,6-2,165,"Lawrence, KS",,"0.2 Pts, 0.1 Reb, 0.3 Ast",kansas,2016,Free State HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,SR,G,5-11,185,"Petersburg, VA",89 (2013),"20.9 Pts, 4.2 Reb, 5.2 Ast",kansas,2017,Massanutten Military Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
11.0,FR,G,6-8,207,"Detroit, MI",1 (2016),"16.3 Pts, 7.4 Reb, 3.0 Ast",kansas,2017,Prolific Prep,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,JR,G,6-2,175,"Raleigh, NC",65 (2014),"13.4 Pts, 3.1 Reb, 4.1 Ast",kansas,2017,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,JR,G,6-8,195,"Cherkasy, Ukraine",95 (2014),"9.8 Pts, 3.0 Reb, 1.3 Ast",kansas,2017,Cherkasy First City Gymnasia,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,SR,F,6-10,240,"Portland, OR",,"8.0 Pts, 8.3 Reb, 1.1 Ast",kansas,2017,Westview HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,SO,G,6-5,190,"Memphis, TN",56 (2015),"7.4 Pts, 3.5 Reb, 0.9 Ast",kansas,2017,Douglass HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
15.0,SO,F,6-10,219,"Cleveland, OH",22 (2015),"5.2 Pts, 4.1 Reb, 0.5 Ast",kansas,2017,Villa Angela-St. Joseph HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
35.0,FR,C,7-0,270,"Delta, Nigeria",33 (2016),"5.0 Pts, 4.4 Reb, 0.2 Ast",kansas,2017,Potter's House Christian Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,JR,C,6-9,236,"Nassau, Bahamas",,"1.7 Pts, 1.8 Reb, 0.1 Ast",kansas,2017,Piney Woods,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
44.0,FR,F,6-8,225,"Gilbert, AZ",,"1.0 Pts, 1.0 Reb, 0.0 Ast",kansas,2017,Ironwood Ridge High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,SR,G,6-2,165,"Lawrence, KS",,"0.8 Pts, 0.2 Reb, 0.4 Ast",kansas,2017,Free State HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,JR,F,6-5,205,"Lansing, KS",,"0.2 Pts, 0.7 Reb, 0.1 Ast",kansas,2017,Lansing HS (KS),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,JR,G,6-2,180,"Goddard, KS",,"0.0 Pts, 0.1 Reb, 0.1 Ast",kansas,2017,Goddard High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SR,G,6-2,175,"Raleigh, NC",65 (2014),"17.3 Pts, 4.0 Reb, 7.2 Ast",kansas,2018,Brewster Academy (NH),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,SR,G,6-8,195,"Cherkasy, Ukraine",95 (2014),"14.6 Pts, 3.9 Reb, 2.7 Ast",kansas,2018,Cherkasy First City Gymnasia,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
14.0,SO,G,6-3,178,"Jackson, MS",8 (2015),"14.2 Pts, 5.0 Reb, 2.1 Ast",kansas,2018,Callaway HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,JR,G,6-5,190,"Memphis, TN",56 (2015),"12.1 Pts, 4.8 Reb, 2.1 Ast",kansas,2018,Douglass HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
35.0,SO,C,7-0,270,"Delta, Nigeria",33 (2016),"13.0 Pts, 7.0 Reb, 0.7 Ast",kansas,2018,Potter's House Christian Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,FR,G,6-5,195,"Dallas, TX",54 (2017),"4.1 Pts, 3.4 Reb, 1.1 Ast",kansas,2018,Skyline High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
44.0,SO,F,6-8,225,"Gilbert, AZ",,"3.8 Pts, 3.1 Reb, 0.3 Ast",kansas,2018,Ironwood Ridge High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
,FR,F,6-9,245,"Luanda, Angola",,"4.0 Pts, 3.7 Reb, 0.2 Ast",kansas,2018,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
3.0,SO,G,6-6,200,"Seattle, WA",39 (2016),"1.9 Pts, 0.6 Reb, 0.3 Ast",kansas,2018,Rainier Beach High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,FR,G,6-4,195,"Leawood, KS",,"1.1 Pts, 0.6 Reb, 0.1 Ast",kansas,2018,Rockhurst High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
21.0,SR,F,6-5,205,"Lansing, KS",,"0.7 Pts, 0.1 Reb, 0.6 Ast",kansas,2018,Lansing HS (KS),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
,SO,F,6-7,260,,,"0.9 Pts, 0.6 Reb, 0.0 Ast",kansas,2018,Hamilton High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,JR,F,6-9,235,"Memphis, TN",32 (2015),"19.4 Pts, 10.3 Reb, 1.7 Ast",kansas,2019,Hamilton HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
11.0,FR,G,6-2,185,"Charlotte, NC",20 (2018),"12.3 Pts, 3.7 Reb, 3.5 Ast",kansas,2019,Providence Day School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
24.0,SR,G,6-5,190,"Memphis, TN",56 (2015),"14.1 Pts, 4.0 Reb, 1.9 Ast",kansas,2019,Douglass HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,FR,G,6-5,205,"The Woodlands, TX",8 (2018),"8.4 Pts, 2.5 Reb, 2.0 Ast",kansas,2019,College Park HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,SO,G,6-5,195,"Dallas, TX",54 (2017),"7.3 Pts, 4.2 Reb, 1.9 Ast",kansas,2019,Skyline High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
30.0,FR,G,6-5,210,"Kansas City, MO",,"8.5 Pts, 4.6 Reb, 0.9 Ast",kansas,2019,Oak Park HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,FR,F,6-10,265,"Norfolk, VA",30 (2018),"3.9 Pts, 3.1 Reb, 0.4 Ast",kansas,2019,Oak Hill Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
35.0,JR,C,7-0,270,"Delta, Nigeria",33 (2016),"13.4 Pts, 6.8 Reb, 0.6 Ast",kansas,2019,Potter's House Christian Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
13.0,JR,F,6-7,215,"Memphis, TN",46 (2015),"3.1 Pts, 2.0 Reb, 0.5 Ast",kansas,2019,Hamilton HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,SO,G,5-11,180,"Chicago, IL",58 (2016),"2.9 Pts, 1.0 Reb, 1.3 Ast",kansas,2019,Morgan Park High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
44.0,JR,F,6-8,225,"Gilbert, AZ",,"2.4 Pts, 2.9 Reb, 0.4 Ast",kansas,2019,Ironwood Ridge High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,SO,G,6-4,195,"Leawood, KS",,"0.5 Pts, 0.1 Reb, 0.1 Ast",kansas,2019,Rockhurst High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,FR,G,6-2,155,"Lawrence, KS",,"0.0 Pts, 0.1 Reb, 0.3 Ast",kansas,2019,Lawrence Free State HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
1.0,SO,G,6-2,185,"Charlotte, NC",20 (2018),"18.1 Pts, 4.1 Reb, 4.0 Ast",kansas,2020,Providence Day School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
35.0,SR,C,7-0,270,"Delta, Nigeria",33 (2016),"13.7 Pts, 10.5 Reb, 0.9 Ast",kansas,2020,Potter's House Christian Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
30.0,SO,G,6-5,210,"Kansas City, MO",,"10.0 Pts, 4.2 Reb, 2.0 Ast",kansas,2020,Oak Park HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
0.0,JR,G,6-5,195,"Dallas, TX",54 (2017),"9.2 Pts, 4.5 Reb, 4.6 Ast",kansas,2020,Skyline High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
4.0,SR,G,6-5,208,"Chicago, IL",,"7.9 Pts, 2.3 Reb, 0.6 Ast",kansas,2020,Simeon HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
33.0,SO,F,6-10,265,"Norfolk, VA",30 (2018),"6.9 Pts, 4.1 Reb, 0.6 Ast",kansas,2020,Oak Hill Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
2.0,FR,G,6-6,205,"Overland Park, KS",,"5.3 Pts, 2.9 Reb, 0.5 Ast",kansas,2020,Blue Valley Northwest HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
13.0,FR,G,6-8,200,"Almere, Netherlands",74 (2019),"2.4 Pts, 2.2 Reb, 0.6 Ast",kansas,2020,Wasatch Academy (UT),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
22.0,JR,F,6-9,245,"Luanda, Angola",,"2.6 Pts, 2.8 Reb, 0.1 Ast",kansas,2020,IMG Academy,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
20.0,FR,G,6-5,185,"Dallas, TX",,"1.2 Pts, 0.1 Reb, 0.1 Ast",kansas,2020,Northfield Mount Hermon School (MA),186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
12.0,JR,G,6-4,195,"Leawood, KS",,"0.8 Pts, 0.1 Reb, 0.1 Ast",kansas,2020,Rockhurst High School,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
5.0,FR,G,6-3,185,"Southlake, TX",,"0.8 Pts, 0.1 Reb, 0.3 Ast",kansas,2020,Carroll Senior HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
10.0,FR,F,6-8,215,"Denton, TX",51 (2019),"0.0 Pts, 0.0 Reb, 0.0 Ast",kansas,2020,John H. Guyer HS,186,Kansas,"Lawrence, Kansas",1899,2025,127,3338,2429,909,.728,15.94,7.45,49,64,16,53,16,4,kansas
