Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian,"Abilene, Texas",1971,2025,15,455,242,213,.532,-7.61,-5.36,0,0,2,2,0,0
2,Air Force,"USAF Academy, Colorado",1958,2025,68,1875,797,1078,.425,-2.87,1.37,0,1,0,4,0,0
3,Akron,"Akron, Ohio",1902,2025,74,1753,1055,698,.602,0.07,-1.60,0,10,7,7,0,0
4,Alabama,"Tuscaloosa, Alabama",1913,2025,112,2933,1822,1110,.621,8.17,5.07,19,10,9,26,1,0
5,Alabama A&M,"Normal, Alabama",2000,2025,26,755,287,468,.380,-16.76,-11.02,0,1,1,1,0,0
6,Alabama State,"Montgomery, Alabama",1983,2025,43,1276,595,681,.466,-13.15,-9.87,0,4,5,5,0,0
7,Albany (NY),"Albany, New York",2000,2025,26,801,384,417,.479,-7.18,-6.03,0,2,5,5,0,0
8,Alcorn State,"Alcorn State, Mississippi",1978,2025,48,1424,618,806,.434,-13.46,-8.63,0,12,6,6,0,0
9,Allegheny Gators,"Meadville, Pennsylvania",1896,1916,21,234,191,41,.823,,,0,0,0,0,0,0
10,American,"Washington, D.C.",1967,2025,59,1674,824,850,.492,-5.86,-4.03,0,8,4,4,0,0
11,Amherst Lord Jeffs,"Amherst, Massachusetts",1901,1902,2,12,12,0,1.000,,,0,0,0,0,0,0
12,Appalachian State,"Boone, North Carolina",1974,2025,52,1545,771,774,.499,-5.44,-3.26,0,11,3,3,0,0
13,Arizona,"Tucson, Arizona",1905,2025,118,2925,1937,987,.662,9.71,5.32,31,26,9,39,4,1
14,Arizona State,"Tempe, Arizona",1912,2025,110,2727,1444,1283,.530,5.18,4.33,7,8,0,17,0,0
15,Arkansas,"Fayetteville, Arkansas",1924,2025,102,2849,1821,1028,.639,8.02,3.51,19,24,7,36,6,1
16,Arkansas State,"State University, Arkansas",1971,2025,55,1611,830,781,.515,-3.49,-2.97,0,8,1,1,0,0
17,Arkansas-Pine Bluff,"Pine Bluff, Arkansas",1999,2025,27,816,239,577,.293,-19.44,-8.20,0,0,1,1,0,0
18,Armstrong Pirates,"Savannah, Georgia",1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
19,Army,"West Point, New York",1903,2025,123,2667,1321,1346,.495,-9.20,-4.77,0,0,0,0,0,0
20,Auburn,"Auburn, Alabama",1906,2025,119,2767,1510,1256,.546,6.44,4.56,11,6,3,14,2,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
21,Augusta Jaguars,"Augusta, Georgia",1985,1991,7,197,64,133,.325,-17.30,-7.99,0,0,0,0,0,0
22,Augustana (IL) Vikings,"Rock Island, Illinois",1902,1917,12,116,81,35,.698,,,0,0,0,0,0,0
23,Austin Peay,"Clarksville, Tennessee",1964,2025,62,1795,892,903,.497,-5.74,-3.48,1,8,5,7,0,0
24,Baker,"Baldwin City, Kansas",1903,1908,6,90,62,28,.689,,,0,0,0,0,0,0
25,Baldwin-Wallace Yellow Jackets,"Berea, Ohio",1948,1953,6,139,82,57,.590,-4.46,1.83,0,0,0,0,0,0
26,Ball State,"Muncie, Indiana",1972,2025,54,1591,841,750,.529,-1.23,-1.03,1,12,7,7,0,0
27,Baltimore Super Bees,"Baltimore, Maryland",1979,1983,5,133,46,87,.346,-13.75,-6.44,0,0,0,0,0,0
28,Baylor,"Waco, Texas",1907,2025,119,2922,1499,1423,.513,2.87,3.09,11,7,0,17,3,1
29,Bellarmine,"Louisville, Kentucky",2021,2025,5,150,62,88,.413,-8.00,-3.11,0,0,1,0,0,0
30,Belmont,"Nashville, Tennessee",2000,2025,26,829,555,274,.669,1.62,-3.25,0,14,8,8,0,0
31,Beloit Buccaneers,"Beloit, Wisconsin",1911,1924,8,95,66,28,.702,,,0,0,0,0,0,0
32,Bethune-Cookman,"Daytona Beach, Florida",1981,2025,44,1314,488,826,.371,-16.36,-9.74,0,2,0,0,0,0
33,Binghamton,"Binghamton, New York",2002,2025,24,714,264,450,.370,-11.20,-5.66,0,1,1,1,0,0
34,Birmingham-Southern Panthers,"Birmingham, Alabama",1920,2006,7,160,97,63,.606,-5.44,-8.72,0,1,0,0,0,0
35,Bloomsburg Huskies,"Bloomsburg, Pennsylvania",1896,1911,15,143,88,55,.615,,,0,0,0,0,0,0
36,Boise State,"Boise, Idaho",1972,2025,54,1612,921,691,.571,1.37,-0.05,1,7,6,10,0,0
37,Boston College,"Chestnut Hill, Massachusetts",1946,2025,80,2267,1221,1046,.539,3.14,3.38,8,6,2,18,0,0
38,Boston University,"Boston, Massachusetts",1916,2025,99,2315,1189,1126,.514,-6.81,-5.50,0,8,7,7,0,0
39,Bowling Green State,"Bowling Green, Ohio",1916,2025,110,2757,1480,1277,.537,-0.82,-0.21,2,9,0,4,0,0
40,Bradley,"Peoria, Illinois",1903,2025,121,3071,1797,1274,.585,4.78,2.84,12,8,4,9,2,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
41,Brigham Young,"Provo, Utah",1903,2025,123,3122,1965,1157,.629,8.16,3.83,13,25,3,32,0,0
42,Brigham Young College,"Logan, Utah",1908,1908,1,11,10,1,.909,,,0,0,0,0,0,0
43,Brooklyn Bulldogs,"Brooklyn, New York",1934,1992,25,567,233,334,.411,-19.22,-9.63,0,0,0,0,0,0
44,Brown,"Providence, Rhode Island",1901,2025,118,2715,1114,1601,.410,-10.46,-4.46,0,1,0,2,0,0
45,Bryant,"Smithfield, Rhode Island",2009,2025,17,521,218,303,.418,-8.48,-5.57,0,2,2,2,0,0
46,Bucknell,"Lewisburg, Pennsylvania",1896,2025,130,2854,1521,1333,.533,-8.29,-6.80,0,19,8,8,0,0
47,Buffalo,"Buffalo, New York",1907,2025,56,1386,696,690,.502,-4.94,-2.31,1,5,4,4,0,0
48,Butler,"Indianapolis, Indiana",1897,2025,127,2931,1690,1241,.577,2.24,3.56,8,13,7,16,2,0
49,Cal Poly,"San Luis Obispo, California",1995,2025,31,917,342,575,.373,-7.24,-1.75,0,1,1,1,0,0
50,Cal State Bakersfield,"Bakersfield, California",2008,2025,18,556,242,314,.435,-5.11,-2.81,0,1,1,1,0,0
51,Cal State Fullerton,"Fullerton, California",1975,2025,51,1489,702,787,.471,-2.26,-0.40,0,2,4,4,0,0
52,Cal State Los Angeles Golden Eagles,"Los Angeles, California",1971,1975,5,130,70,60,.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge,"Northridge, California",1991,2025,35,1048,448,600,.427,-5.58,-1.96,0,3,2,2,0,0
54,California,"Berkeley, California",1908,2025,116,2993,1686,1307,.563,6.84,6.19,5,14,0,19,3,1
55,California Baptist,"Riverside, California",2019,2025,7,217,118,99,.544,-2.56,-3.49,0,0,0,0,0,0
56,Campbell,"Buies Creek, North Carolina",1978,2025,48,1398,596,802,.426,-11.96,-6.98,0,2,1,1,0,0
57,Canisius,"Buffalo, New York",1904,2025,121,2744,1364,1380,.497,-4.12,-1.90,1,8,1,4,0,0
58,Canterbury College,"Danville, Indiana",1931,1931,1,19,19,0,1.000,,,0,0,0,0,0,0
59,Carleton College Knights,"Northfield, Minnesota",1910,1934,25,360,280,80,.778,,,0,0,0,0,0,0
60,Carnegie Mellon Tartans,"Pittsburgh, Pennsylvania",1933,1939,7,87,40,47,.460,,,0,2,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
61,Case Western Reserve Spartans,"Cleveland, Ohio",1898,1955,13,245,95,150,.388,-18.31,-2.69,0,0,0,0,0,0
62,Catholic Cardinals,"Washington, D.C.",1913,1981,13,248,122,126,.492,-15.98,-6.69,0,0,0,1,0,0
63,Centenary (LA) Gents,"Shreveport, Louisiana",1960,2011,52,1435,637,798,.444,-8.73,-3.97,1,1,1,0,0,0
64,Central Arkansas,"Conway, Arkansas",2007,2025,19,575,179,396,.311,-14.42,-4.58,0,0,0,0,0,0
65,Central Connecticut State,"New Britain, Connecticut",1987,2025,39,1140,463,677,.406,-12.61,-7.80,0,5,3,3,0,0
66,Central Michigan,"Mount Pleasant, Michigan",1974,2025,52,1504,658,846,.438,-4.41,-0.64,0,8,2,4,0,0
67,Central Missouri Mules,"Warrensburg, Missouri",1913,1937,10,178,140,38,.787,,,0,0,0,0,0,0
68,Central Pennsylvania College Knights,"Summerdale, Pennsylvania",1896,1900,4,6,2,4,.333,,,0,0,0,0,0,0
69,Centre (KY) Colonels,"Danville, Kentucky",1910,1919,3,45,41,4,.911,,,0,0,0,0,0,0
70,Charleston Southern,"Charleston, South Carolina",1975,2025,51,1468,589,879,.401,-13.23,-6.87,0,4,4,1,0,0
71,Charlotte,"Charlotte, North Carolina",1973,2025,53,1584,861,723,.544,3.01,1.83,2,6,5,11,1,0
72,Chattanooga,"Chattanooga, Tennessee",1978,2025,48,1492,908,584,.609,-2.14,-3.53,1,21,12,12,0,0
73,Cheyenne Business College,"Cheyenne, Wyoming",1903,1903,1,1,1,0,1.000,,,0,0,0,0,0,0
74,Chicago Maroons,"Chicago, Illinois",1896,1946,46,862,419,443,.486,,,0,6,0,0,0,0
75,Chicago State,"Chicago, Illinois",1985,2025,41,1188,308,880,.259,-15.68,-2.26,0,0,1,0,0,0
76,Cincinnati,"Cincinnati, Ohio",1902,2025,124,3025,1929,1096,.638,11.62,5.16,25,25,12,33,6,2
77,City College of New York Beavers,"New York, New York",1906,1953,48,725,517,208,.713,-0.07,2.71,0,1,0,2,2,1
78,Clemson,"Clemson, South Carolina",1912,2025,114,2828,1454,1372,.515,5.93,4.43,8,1,1,15,0,0
79,Cleveland State,"Cleveland, Ohio",1973,2025,53,1576,797,779,.506,-3.42,-1.88,0,6,3,3,0,0
80,Coastal Carolina,"Conway, South Carolina",1987,2025,39,1177,587,590,.499,-7.95,-5.97,0,7,5,4,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
81,Colgate,"Hamilton, New York",1901,2025,125,2871,1408,1463,.490,-10.12,-5.67,0,9,7,7,0,0
82,College of Charleston,"Charleston, South Carolina",1992,2025,34,1062,734,328,.691,1.17,-3.96,2,15,6,7,0,0
83,College of New Jersey Lions,"Ewing, New Jersey",1900,1900,1,5,3,2,.600,,,0,0,0,0,0,0
84,Colorado,"Boulder, Colorado",1902,2025,122,2733,1441,1292,.527,5.62,6.13,6,19,1,16,2,0
85,Colorado College Tigers,"Colorado Springs, Colorado",1915,1937,23,376,233,143,.620,,,0,7,0,0,0,0
86,Colorado School of Mines Orediggers,"Golden, Colorado",1908,1937,28,280,78,202,.279,,,0,2,0,0,0,0
87,Colorado State,"Fort Collins, Colorado",1902,2025,121,2734,1397,1337,.511,3.24,2.56,1,6,2,13,0,0
88,Columbia,"New York, New York",1901,2025,124,2757,1344,1413,.487,-7.89,-5.10,2,13,0,3,0,0
89,Concordia Seminary Preachers,"St. Louis, Missouri",1907,1923,2,16,14,2,.875,,,0,0,0,0,0,0
90,Connecticut,"Storrs, Connecticut",1901,2025,119,2814,1805,1009,.641,7.32,1.47,19,28,9,37,7,6
91,Coppin State,"Baltimore, Maryland",1986,2025,40,1208,523,685,.433,-11.54,-7.86,0,11,4,4,0,0
92,Cornell,"Ithaca, New York",1899,2025,126,2843,1341,1502,.472,-7.36,-4.41,0,8,0,5,0,0
93,Cotner College,"Lincoln, Nebraska",1910,1911,2,27,24,3,.889,,,0,0,0,0,0,0
94,Creighton,"Omaha, Nebraska",1912,2025,105,2787,1705,1082,.612,4.62,3.79,7,16,12,26,0,0
95,Cumberland,"Lebanon, Tennessee",1904,1904,1,4,4,0,1.000,,,0,0,0,0,0,0
96,Dakota Wesleyan Tigers,"Mitchell, South Dakota",1932,1932,1,20,19,1,.950,,,0,0,0,0,0,0
97,Dartmouth,"Hanover, New Hampshire",1900,2025,124,2969,1358,1609,.458,-10.66,-5.01,0,12,0,7,2,0
98,Davidson,"Davidson, North Carolina",1909,2025,116,2862,1565,1297,.547,-2.42,-2.62,6,25,13,15,0,0
99,Dayton,"Dayton, Ohio",1904,2025,120,2954,1782,1172,.603,7.14,3.22,9,6,2,19,1,0
100,Delaware,"Newark, Delaware",1906,2025,84,2074,1034,1039,.499,-8.16,-5.81,0,4,6,6,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
101,Delaware State,"Dover, Delaware",1974,2025,52,1501,578,923,.385,-16.71,-9.95,0,3,1,1,0,0
102,Denison Big Red,"Granville, Ohio",1905,1944,24,362,269,93,.743,,,0,0,0,0,0,0
103,Denver,"Denver, Colorado",1904,2025,102,2256,1004,1252,.445,-4.40,-0.99,0,4,0,0,0,0
104,DePaul,"Chicago, Illinois",1924,2025,102,2672,1530,1142,.573,5.92,6.07,12,2,0,22,2,0
105,DePauw Tigers,"Greencastle, Indiana",1916,1932,17,277,182,94,.659,,,0,0,0,0,0,0
106,Detroit Mercy,"Detroit, Michigan",1910,2025,116,2829,1473,1356,.521,-0.48,0.75,2,2,3,6,0,0
107,Dickinson College Red Devils,"Carlisle, Pennsylvania",1926,1947,2,34,30,4,.882,,,0,0,0,0,0,0
108,Drake,"Des Moines, Iowa",1907,2025,119,2929,1400,1529,.478,1.51,2.81,5,10,4,8,1,0
109,Drexel,"Philadelphia, Pennsylvania",1895,2025,55,1533,840,693,.548,-3.32,-4.44,0,7,5,5,0,0
110,Duke,"Durham, North Carolina",1906,2025,120,3268,2335,933,.715,16.50,6.79,53,24,28,47,18,5
111,Duquesne,"Pittsburgh, Pennsylvania",1914,2025,109,2706,1496,1210,.553,2.04,2.00,7,2,2,6,1,0
112,East Carolina,"Greenville, North Carolina",1967,2025,59,1692,748,944,.442,-4.38,-0.93,0,0,2,2,0,0
113,East Central Tigers,"Ada, Oklahoma",1929,1931,3,74,66,8,.892,,,0,0,0,0,0,0
114,East Tennessee State,"Johnson City, Tennessee",1959,2025,67,1932,1055,877,.546,-3.94,-3.41,1,11,10,10,0,0
115,East Texas A&M,"Commerce, Texas",2023,2025,3,97,31,66,.320,-12.66,-4.86,0,0,0,0,0,0
116,Eastern Illinois,"Charleston, Illinois",1982,2025,44,1299,578,721,.445,-8.14,-4.52,0,0,3,2,0,0
117,Eastern Kentucky,"Richmond, Kentucky",1948,2025,75,2046,1015,1031,.496,-4.68,-2.80,0,9,5,8,0,0
118,Eastern Michigan,"Ypsilanti, Michigan",1933,2025,53,1563,728,835,.466,-3.82,-0.55,0,5,4,4,0,0
119,Eastern Washington,"Cheney, Washington",1984,2025,42,1239,560,679,.452,-5.67,-2.32,0,6,3,3,0,0
120,Elon,"Elon, North Carolina",2000,2025,26,799,336,463,.421,-8.35,-3.67,0,2,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
121,Emporia State Hornets,"Emporia, Kansas",1934,1934,1,18,17,1,.944,,,0,0,0,0,0,0
122,Ensign College,"Salt Lake City, Utah",1903,1903,1,16,15,1,.938,,,0,0,0,0,0,0
123,Evansville,"Evansville, Indiana",1925,2025,52,1491,764,727,.512,0.28,0.93,0,6,4,5,0,0
124,Fairfield,"Fairfield, Connecticut",1965,2025,61,1765,853,912,.483,-4.70,-3.19,0,3,3,3,0,0
125,FDU,"Teaneck, New Jersey",1968,2025,58,1646,779,867,.473,-10.21,-7.04,0,6,6,7,0,0
126,Florida,"Gainesville, Florida",1921,2025,104,2747,1562,1184,.569,8.45,5.25,16,7,5,25,6,3
127,Florida A&M,"Tallahassee, Florida",1980,2025,46,1351,514,837,.380,-15.64,-8.72,0,0,4,3,0,0
128,Florida Atlantic,"Boca Raton, Florida",1994,2025,32,968,407,561,.420,-6.70,-2.75,1,2,2,3,1,0
129,Florida Gulf Coast,"Fort Myers, Florida",2008,2025,18,576,300,276,.521,-3.33,-4.00,0,3,3,3,0,0
130,Florida International,"Miami, Florida",1988,2025,38,1140,457,683,.401,-7.91,-3.11,0,1,1,1,0,0
131,Florida State,"Tallahassee, Florida",1957,2025,69,2045,1206,839,.590,7.60,5.14,12,3,2,18,1,0
132,Fordham,"Bronx, New York",1903,2025,121,3080,1595,1485,.518,-2.75,-0.20,1,4,3,4,0,0
133,Franklin Grizzlies,"Franklin, Indiana",1907,1925,18,221,144,77,.652,,,0,0,0,0,0,0
134,Fresno State,"Fresno, California",1956,2025,58,1755,961,794,.548,2.28,1.85,1,6,5,6,0,0
135,Furman,"Greenville, South Carolina",1920,2025,104,2685,1375,1310,.512,-5.53,-4.03,0,7,7,7,0,0
136,Gardner-Webb,"Boiling Springs, North Carolina",2003,2025,23,721,338,383,.469,-7.32,-4.58,0,1,1,1,0,0
137,Geneva Golden Tornadoes,"Beaver Falls, Pennsylvania",1893,1943,10,125,80,45,.640,,,0,0,0,0,0,0
138,George Mason,"Fairfax, Virginia",1979,2025,47,1422,775,647,.545,-0.72,-1.28,0,5,4,6,1,0
139,George Washington,"Washington, D.C.",1913,2025,108,2677,1430,1247,.534,0.10,-0.13,3,7,5,11,0,0
140,Georgetown,"Washington, D.C.",1907,2025,117,2912,1740,1172,.598,6.61,4.15,20,11,8,31,5,1
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
141,Georgia,"Athens, Georgia",1906,2025,120,2928,1515,1413,.517,4.10,5.10,5,2,3,13,1,0
142,Georgia Southern,"Statesboro, Georgia",1974,2025,52,1534,778,756,.507,-6.66,-4.86,0,7,3,3,0,0
143,Georgia State,"Atlanta, Georgia",1974,2025,52,1525,684,841,.449,-6.91,-3.69,0,8,6,6,0,0
144,Georgia Tech,"Atlanta, Georgia",1920,2025,106,2783,1458,1325,.524,5.58,5.27,8,3,5,17,2,0
145,Gettysburg Bullets,"Gettysburg, Pennsylvania",1901,1973,41,724,385,339,.532,-15.94,-9.75,0,0,0,0,0,0
146,Gonzaga,"Spokane, Washington",1944,2025,74,2209,1477,732,.669,4.60,0.16,18,28,22,27,2,0
147,Grambling,"Grambling, Louisiana",1978,2025,48,1387,542,845,.391,-16.69,-9.22,0,5,1,1,0,0
148,Grand Canyon,"Phoenix, Arizona",2014,2025,12,385,256,129,.665,1.69,-3.09,0,2,4,4,0,0
149,Green Bay,"Green Bay, Wisconsin",1982,2025,44,1343,694,649,.517,-1.88,-1.48,0,4,4,5,0,0
150,Grinnell Pioneers,"Grinnell, Iowa",1901,1939,38,550,280,270,.509,,,0,0,0,0,0,0
151,Grove City Wolverines,"Grove City, Pennsylvania",1899,1925,27,383,257,126,.671,,,0,0,0,0,0,0
152,Hamline Pipers,"St. Paul, Minnesota",1945,1948,4,102,82,20,.804,,,0,0,0,0,0,0
153,Hampton,"Hampton, Virginia",1996,2025,30,928,461,467,.497,-9.56,-8.33,0,4,6,6,0,0
154,Hardin-Simmons Cowboys,"Abilene, Texas",1923,1990,45,1149,481,668,.419,-11.07,-5.69,0,1,0,2,0,0
155,Hartford Hawks,"West Hartford, Connecticut",1985,2023,39,1155,486,669,.421,-9.24,-5.52,0,0,1,1,0,0
156,Harvard,"Boston, Massachusetts",1901,2025,113,2620,1227,1393,.468,-7.96,-4.79,0,7,0,5,0,0
157,Haskell (KS) Fighting Indians,"Lawrence, Kansas",1903,1908,2,39,27,12,.692,,,0,0,0,0,0,0
158,Hawaii,"Honolulu, Hawaii",1971,2025,55,1616,860,756,.532,1.72,1.48,1,3,4,5,0,0
159,High Point,"High Point, North Carolina",2000,2025,26,797,397,400,.498,-8.25,-6.04,0,6,1,1,0,0
160,Hiram Terriers,"Hiram, Ohio",1894,1904,8,59,45,14,.763,,,0,0,0,0,0,0
Rk,School,"City, State",From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
161,Hofstra,"Hempstead, New York",1943,2025,60,1753,921,832,.525,-5.40,-4.25,0,10,6,4,0,0
162,Holy Cross,"Worcester, Massachusetts",1901,2025,105,2582,1462,1120,.566,-2.79,-3.99,6,6,7,13,2,1
163,Hope Flying Dutchmen,"Holland, Michigan",1908,1913,5,65,44,21,.677,,,0,0,0,0,0,0
164,Houston,"Houston, Texas",1951,2025,75,2254,1407,847,.624,6.94,3.11,15,10,9,26,7,0
165,Houston Christian,"Houston, Texas",1974,2025,33,959,369,590,.385,-12.13,-5.81,0,2,1,1,0,0
166,Howard,"Washington, D.C.",1974,2025,52,1491,592,899,.397,-14.63,-9.49,0,5,5,4,0,0
